#
# Sunnyvale Tactical Call List
# updated/revised: 23-Apr-2012 by B Gundrum
#
SJCC01	San Jose Almaden Community Center
SJCC02	San Jose Bascom Community Center
SJCC03	San Jose Berryessa Community Center
SJCC04	San Jose Camden Community Center
SJCC05	San Jose Cypress Community Center
SJCC06	San Jose Evergreen Community Center
SJCC07	San Jose Grace Community Center
SJCC08	San Jose Mayfair Community Center
SJCC09	San Jose Roosevelt Community Center
SJCC10	San Jose Seven Trees Community Center
SJCC11	San Jose Southside Community Center
SJCC12	San Jose Willow Glen Community Center
SJCC13	San Jose Future Community Center 01
SJCC14	San Jose Future Community Center 02
#
# Responders
#
SJCR01	San Jose Responder 01
SJCR02	San Jose Responder 02
SJCR03	San Jose Responder 03
SJCR04	San Jose Responder 04
SJCR05	San Jose Responder 05
SJCR06	San Jose Responder 06
SJCR07	San Jose Responder 07
SJCR08	San Jose Responder 08
SJCR09	San Jose Responder 09
SJCR10	San Jose Responder 10
SJCR11	San Jose Responder 11
SJCR12	San Jose Responder 12
SJCR13	San Jose Responder 13
SJCR14	San Jose Responder 14
SJCR15	San Jose Responder 15
SJCR16	San Jose Responder 16
SJCR17	San Jose Responder 17
SJCR18	San Jose Responder 18
SJCR19	San Jose Responder 19
SJCR20	San Jose Responder 20
#
# Shelters
#
SJCS01	San Jose Shelter 01
SJCS02	San Jose Shelter 02
SJCS03	San Jose Shelter 03
SJCS04	San Jose Shelter 04
SJCS05	San Jose Shelter 05
SJCS06	San Jose Shelter 06
SJCS07	San Jose Shelter 07
SJCS08	San Jose Shelter 08
SJCS09	San Jose Shelter 09
SJCS10	San Jose Shelter 10
SJCS11	San Jose Shelter 11
SJCS12	San Jose Shelter 12
SJCS13	San Jose Shelter 13
SJCS14	San Jose Shelter 14
SJCS15	San Jose Shelter 15
SJCS16	San Jose Shelter 16
SJCS17	San Jose Shelter 17
SJCS18	San Jose Shelter 18
SJCS19	San Jose Shelter 19
SJCS20	San Jose Shelter 20
SJCS21	San Jose Shelter 21
SJCS22	San Jose Shelter 22
SJCS23	San Jose Shelter 23
SJCS24	San Jose Shelter 24
SJCS25	San Jose Shelter 25
#
# Plus the 10 "Tactical Calls for Ad Hoc Use" (SJC001 > SJC010)
#	
#
# Tactical calls for ARC - American Red Cross
#
# George Williams - N6NKT
#
# History Log
#	29-Feb-16	Update file to include History Log
#			Change ECO to EOC for Regional Tactical call
#			Add 100 to all shelters tactical calls
#			Add 1 to HQ tact call to be inline with Shelter tactical calls
#
#	2-Mar-16	Removed all reference to San Mateo County tactical call
#			per packet/Outpost Leadership
#

ARCEOC	ARC Regional EOC - San Jose	Most often will be co-located at San Jose ARC office

#
#  ARC Santa Clara County
#
ARCHQ1	ARC - San Jose			San Jose ARC EOC
